abstract_id	sent	ent1_name	ent2_name	ent1_type	ent2_type	ent1_id	ent2_id	distance
23533596	CD151 formed a complex with [s1] integrin α3 [e1] in HGC cells . CD151 - cDNA transfection rescued the metastatic potential and invasiveness of HGC - 27 - vshCD151 cells , but not those of HGC - 27 - vshintegrin α3 cells in vitro . Clinically , CD151 overexpression was significantly correlated with high TNM stage , depth of invasion and positive lymph node involvement ( p < 0 . 05 ), and high levels of integrin α3 were associated with large tumor size , high TNM stage , depth of invasion and lymph node involvement ( p < 0 . 05 ). Importantly , the postoperative 5 - year overall survival of patients with [s2] CD151 [e2] ( low ) and / or integrin α3 ( low ) was higher than that of patients with CD151 ( high ) and / or integrin α3 ( high ).	integrin α3	CD151	Gene/Protein	Gene/Protein	e19	e24	3
23533596	CD151 formed a complex with [s1] integrin α3 [e1] in HGC cells . CD151 - cDNA transfection rescued the metastatic potential and invasiveness of HGC - 27 - vshCD151 cells , but not those of HGC - 27 - vshintegrin α3 cells in vitro . Clinically , CD151 overexpression was significantly correlated with high TNM stage , depth of invasion and positive lymph node involvement ( p < 0 . 05 ), and high levels of integrin α3 were associated with large tumor size , high TNM stage , depth of invasion and lymph node involvement ( p < 0 . 05 ). Importantly , the postoperative 5 - year overall survival of patients with CD151 ( low ) and / or integrin α3 ( low ) was higher than that of patients with [s2] CD151 [e2] ( high ) and / or integrin α3 ( high ).	integrin α3	CD151	Gene/Protein	Gene/Protein	e19	e26	3
23533596	[s1] CD151 [e1] - cDNA transfection rescued the metastatic potential and invasiveness of HGC - 27 - vshCD151 cells , but not those of HGC - 27 - vshintegrin α3 cells in vitro . Clinically , CD151 overexpression was significantly correlated with high TNM stage , depth of invasion and positive lymph node involvement ( p < 0 . 05 ), and high levels of [s2] integrin α3 [e2] were associated with large tumor size , high TNM stage , depth of invasion and lymph node involvement ( p < 0 . 05 ).	CD151	integrin α3	Gene/Protein	Gene/Protein	e20	e23	1
23533596	[s1] CD151 [e1] - cDNA transfection rescued the metastatic potential and invasiveness of HGC - 27 - vshCD151 cells , but not those of HGC - 27 - vshintegrin α3 cells in vitro . Clinically , CD151 overexpression was significantly correlated with high TNM stage , depth of invasion and positive lymph node involvement ( p < 0 . 05 ), and high levels of integrin α3 were associated with large tumor size , high TNM stage , depth of invasion and lymph node involvement ( p < 0 . 05 ). Importantly , the postoperative 5 - year overall survival of patients with CD151 ( low ) and / or [s2] integrin α3 [e2] ( low ) was higher than that of patients with CD151 ( high ) and / or integrin α3 ( high ).	CD151	integrin α3	Gene/Protein	Gene/Protein	e20	e25	2
23533596	[s1] CD151 [e1] - cDNA transfection rescued the metastatic potential and invasiveness of HGC - 27 - vshCD151 cells , but not those of HGC - 27 - vshintegrin α3 cells in vitro . Clinically , CD151 overexpression was significantly correlated with high TNM stage , depth of invasion and positive lymph node involvement ( p < 0 . 05 ), and high levels of integrin α3 were associated with large tumor size , high TNM stage , depth of invasion and lymph node involvement ( p < 0 . 05 ). Importantly , the postoperative 5 - year overall survival of patients with CD151 ( low ) and / or integrin α3 ( low ) was higher than that of patients with CD151 ( high ) and / or [s2] integrin α3 [e2] ( high ).	CD151	integrin α3	Gene/Protein	Gene/Protein	e20	e27	2
23533596	[s1] CD151 [e1] - cDNA transfection rescued the metastatic potential and invasiveness of HGC - 27 - vshCD151 cells , but not those of HGC - 27 - vshintegrin α3 cells in vitro . Clinically , CD151 overexpression was significantly correlated with high TNM stage , depth of invasion and positive lymph node involvement ( p < 0 . 05 ), and high levels of integrin α3 were associated with large tumor size , high TNM stage , depth of invasion and lymph node involvement ( p < 0 . 05 ). Importantly , the postoperative 5 - year overall survival of patients with CD151 ( low ) and / or integrin α3 ( low ) was higher than that of patients with CD151 ( high ) and / or integrin α3 ( high ). CD151 is positively associated with the invasiveness of HGC , and CD151 or the combination of CD151 and [s2] integrin α3 [e2] is a novel marker for predicting the prognosis of HGC patients and may be potential therapeutic targets .	CD151	integrin α3	Gene/Protein	Gene/Protein	e20	e31	3
23533596	Clinically , [s1] CD151 [e1] overexpression was significantly correlated with high TNM stage , depth of invasion and positive lymph node involvement ( p < 0 . 05 ), and high levels of [s2] integrin α3 [e2] were associated with large tumor size , high TNM stage , depth of invasion and lymph node involvement ( p < 0 . 05 ).	CD151	integrin α3	Gene/Protein	Gene/Protein	e22	e23	0
23533596	Clinically , [s1] CD151 [e1] overexpression was significantly correlated with high TNM stage , depth of invasion and positive lymph node involvement ( p < 0 . 05 ), and high levels of integrin α3 were associated with large tumor size , high TNM stage , depth of invasion and lymph node involvement ( p < 0 . 05 ). Importantly , the postoperative 5 - year overall survival of patients with CD151 ( low ) and / or [s2] integrin α3 [e2] ( low ) was higher than that of patients with CD151 ( high ) and / or integrin α3 ( high ).	CD151	integrin α3	Gene/Protein	Gene/Protein	e22	e25	1
23533596	Clinically , [s1] CD151 [e1] overexpression was significantly correlated with high TNM stage , depth of invasion and positive lymph node involvement ( p < 0 . 05 ), and high levels of integrin α3 were associated with large tumor size , high TNM stage , depth of invasion and lymph node involvement ( p < 0 . 05 ). Importantly , the postoperative 5 - year overall survival of patients with CD151 ( low ) and / or integrin α3 ( low ) was higher than that of patients with CD151 ( high ) and / or [s2] integrin α3 [e2] ( high ).	CD151	integrin α3	Gene/Protein	Gene/Protein	e22	e27	1
23533596	Clinically , [s1] CD151 [e1] overexpression was significantly correlated with high TNM stage , depth of invasion and positive lymph node involvement ( p < 0 . 05 ), and high levels of integrin α3 were associated with large tumor size , high TNM stage , depth of invasion and lymph node involvement ( p < 0 . 05 ). Importantly , the postoperative 5 - year overall survival of patients with CD151 ( low ) and / or integrin α3 ( low ) was higher than that of patients with CD151 ( high ) and / or integrin α3 ( high ). CD151 is positively associated with the invasiveness of HGC , and CD151 or the combination of CD151 and [s2] integrin α3 [e2] is a novel marker for predicting the prognosis of HGC patients and may be potential therapeutic targets .	CD151	integrin α3	Gene/Protein	Gene/Protein	e22	e31	2
23533596	Clinically , CD151 overexpression was significantly correlated with high TNM stage , depth of invasion and positive lymph node involvement ( p < 0 . 05 ), and high levels of [s1] integrin α3 [e1] were associated with large tumor size , high TNM stage , depth of invasion and lymph node involvement ( p < 0 . 05 ). Importantly , the postoperative 5 - year overall survival of patients with [s2] CD151 [e2] ( low ) and / or integrin α3 ( low ) was higher than that of patients with CD151 ( high ) and / or integrin α3 ( high ).	integrin α3	CD151	Gene/Protein	Gene/Protein	e23	e24	1
23533596	Clinically , CD151 overexpression was significantly correlated with high TNM stage , depth of invasion and positive lymph node involvement ( p < 0 . 05 ), and high levels of [s1] integrin α3 [e1] were associated with large tumor size , high TNM stage , depth of invasion and lymph node involvement ( p < 0 . 05 ). Importantly , the postoperative 5 - year overall survival of patients with CD151 ( low ) and / or integrin α3 ( low ) was higher than that of patients with [s2] CD151 [e2] ( high ) and / or integrin α3 ( high ).	integrin α3	CD151	Gene/Protein	Gene/Protein	e23	e26	1
23533596	Clinically , CD151 overexpression was significantly correlated with high TNM stage , depth of invasion and positive lymph node involvement ( p < 0 . 05 ), and high levels of [s1] integrin α3 [e1] were associated with large tumor size , high TNM stage , depth of invasion and lymph node involvement ( p < 0 . 05 ). Importantly , the postoperative 5 - year overall survival of patients with CD151 ( low ) and / or integrin α3 ( low ) was higher than that of patients with CD151 ( high ) and / or integrin α3 ( high ). [s2] CD151 [e2] is positively associated with the invasiveness of HGC , and CD151 or the combination of CD151 and integrin α3 is a novel marker for predicting the prognosis of HGC patients and may be potential therapeutic targets .	integrin α3	CD151	Gene/Protein	Gene/Protein	e23	e28	2
23533596	Clinically , CD151 overexpression was significantly correlated with high TNM stage , depth of invasion and positive lymph node involvement ( p < 0 . 05 ), and high levels of [s1] integrin α3 [e1] were associated with large tumor size , high TNM stage , depth of invasion and lymph node involvement ( p < 0 . 05 ). Importantly , the postoperative 5 - year overall survival of patients with CD151 ( low ) and / or integrin α3 ( low ) was higher than that of patients with CD151 ( high ) and / or integrin α3 ( high ). CD151 is positively associated with the invasiveness of HGC , and [s2] CD151 [e2] or the combination of CD151 and integrin α3 is a novel marker for predicting the prognosis of HGC patients and may be potential therapeutic targets .	integrin α3	CD151	Gene/Protein	Gene/Protein	e23	e29	2
23533596	Clinically , CD151 overexpression was significantly correlated with high TNM stage , depth of invasion and positive lymph node involvement ( p < 0 . 05 ), and high levels of [s1] integrin α3 [e1] were associated with large tumor size , high TNM stage , depth of invasion and lymph node involvement ( p < 0 . 05 ). Importantly , the postoperative 5 - year overall survival of patients with CD151 ( low ) and / or integrin α3 ( low ) was higher than that of patients with CD151 ( high ) and / or integrin α3 ( high ). CD151 is positively associated with the invasiveness of HGC , and CD151 or the combination of [s2] CD151 [e2] and integrin α3 is a novel marker for predicting the prognosis of HGC patients and may be potential therapeutic targets .	integrin α3	CD151	Gene/Protein	Gene/Protein	e23	e30	2
23533596	Importantly , the postoperative 5 - year overall survival of patients with [s1] CD151 [e1] ( low ) and / or [s2] integrin α3 [e2] ( low ) was higher than that of patients with CD151 ( high ) and / or integrin α3 ( high ).	CD151	integrin α3	Gene/Protein	Gene/Protein	e24	e25	0
23533596	Importantly , the postoperative 5 - year overall survival of patients with [s1] CD151 [e1] ( low ) and / or integrin α3 ( low ) was higher than that of patients with CD151 ( high ) and / or [s2] integrin α3 [e2] ( high ).	CD151	integrin α3	Gene/Protein	Gene/Protein	e24	e27	0
